,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Ширина пролета,"32,6",,22 гр,,Профлист,,
,,,Высота боковой стены,4,,,,,,
,,,Кол-во пролетов,25,,,,Колоны черные,,
,,,Связевой блок,4,на каждые 40 м,,,,,
,,,Кол. распорок в пролете,1,"если больше 4,8м",еще 2 распорки на пролет,,,,
,,,Шаг колон,"4,8",,,,,,
,,,Длина здания,120,,,,2020,,
,,,Площадь здания,3912,,Коровник ПСК,,,,
,,,,,,,,,,
,,,,,,,,,,
,,№,Наименование,Маркировка,Профиль,Длина,К-во,Длина общ.,кг/м,Вес
,,1,Балки крайние,Б1,"ЛСЖ 250х100-3,0",8700,104,"904,8","11,8","10 676,64"
,,2,Балки средние,Б2,"ЛСЖ 250х100-3,0",9000,104,936,"11,8","11 044,80"
,,3,Балка подкос,БП,"ЛСЖ 200х75-2,0",5000,96,480,"6,9","3 312,00"
,,4,Колонны средние,К2,"200X120X7,0",7000,52,364,33,"12 012,00"
,,5,Колонны крайние,К1,"160X120X7,0",4000,52,208,28,"5 824,00"
,,6,Стойка фахв.4,Ст.ф4,"160X120X7,0",5200,4,"20,8",28,"582,40"
,,7,Стойка фахв.3,Ст.ф3,"160X120X7,0",6500,4,26,28,"728,00"
,,8,Стойка фахв.2,Ст.ф2,"160X120X7,0",8400,4,"33,6",28,"940,80"
,,9,Стойка фахв.1,Ст.ф1,"160X120X7,0",9100,4,"36,4",28,"1 019,20"
,,10,Стойки центр ворот,Ст.в,"160X120X7,0",9700,4,"38,8",28,"1 086,40"
,,11,Ригель,Р,"ЛСЖ 200х75-2,0",4800,150,720,"6,3","4 536,00"
,,12,Прогон одинарный,Пр1,"Z 250х65-2,0",4800,700,3360,"6,3","21 168,00"
,,13,Ригель фахв.1,Рф-1,150X100X5.0,4180,6,"25,08",20,"501,60"
,,14,Ригель фахв.2,Рф-2,150X100X5.0,3180,28,"89,04",20,"1 780,80"
,,15,Ригель фахв.3,Рф-3,150X100X5.0,2030,4,"8,12",20,"162,40"
,,16,Ригель фахв.4,Рф-4,150X100X5.0,1930,8,"15,44",20,"308,80"
,,17,Ригель фахв.5,Рф-5,150X100X5.0,2480,12,"29,76",20,"595,20"
,,18,Ригель фахв.6,Рф-6,150X100X5.0,440,12,"5,28",20,"105,60"
,,19,Ригель фахв.7,Рф-7,150X100X5.0,5340,2,"10,68",20,"213,60"
,,20,Уголок,СД-250,"2,5",,1700,,"1,5","2 550,00"
,,21,Стойка конек,Ст.К,СЖТ 150х47/41х1.5,850,52,"44,2","3,3","145,86"
,,22,Балка конек,Б.К,СЖТ 150х47/41х1.5,1800,52,"93,6","3,3","308,88"
,,23,Прогон конек,Пр.К,СЖТ 150х47/41х1.5,4800,200,960,"3,3","3 168,00"
,,24,Уголок,СД-150,"2,5",,404,,"0,5","202,00"
,,25,Соед. уголок,120х60х150,"2,5",,204,,"0,5","102,00"
,,26,Соед. пластина,,"2,5",,26,,"2,5","65,00"
,,,,,,"200X120X7,0",,"364,00",,"12 012,00"
,,,,,,"160X120X7,0",,"363,60",,"10 180,80"
,,,,,,150X100X5.0,,"183,40",,"3 668,00"
,,,,,,"150-1,5",,"1 097,80",,"3 622,74"
,,,,,,"200-2,0",,"1 200,00",,"7 848,00"
,,,,,,Z 250,,"3 360,00",,"21 168,00"
,,,,,,"250-3,0",,"1 840,80",,"21 721,44"
,,,,,,,,,,
,,,Затяжка ф24мм,,,8000,48,384,,1344
,,,,,,,,,,
,,,,,,Оцинковка,,"54 360,18",141,7 664 785р.
,,,,,,Черн. Мет.,,"25 860,80",132,3 413 626р.
,,,,,,Уголок 250,,1700,300,510 000р.
,,,,,,Уголок 150,,404,200,80 800р.
,,,,,,Соед. уголок,,204,200,40 800р.
,,,,,,Соед. пластина,,26,350,9 100р.
,,,,,,Уголок черн.,,"510,00",150,76 500р.
,,,,,,Фасонка 6мм,,"8 154,03",136,1 108 948р.
,,,,,,Связи 100х4,,"3 400,00",162,550 800р.
,,,Площадь,3912,,Затяжка ф24мм,,1584,162,256 608р.
,,,Металоемкост расч.,"26,94",,Связи ф16мм,,"2107,2",162,341 366р.
,,,Вес каркаса расч.,"105 386,26",,Пятки,,2480,128,317 440р.
,,,Цена за тонну расч.,"175,17р.",,Метизы,,"4 011,05",200,802 210р.
,,,Цена на 1 кв. м,"4 718,94р.",,Доставка,,,,
,,,Цена расч.,"18 460 506,44р.",,Проект,,"105 386,26",2,210 773р.
,,,,,,Общий вес,,"105 386,26",,
,,,,,,ИТОГО,,,,15 383 755р.
,,,,,,Продажная цена +20%,,,,18 460 506р.
