Тип быстровозводимого здания	Стоимость за 300м2	Стоимость за 600м2	Стоимость за 900м2	Стоимость за 1200м2	Стоимость за 1500м2
Быстровозводимые металлические (прямостенные) ангары	    1 485 000	   2 970 000	    4 455 000	    5 940 000	    7 425 000
Быстровозводимые складские помещения из металлоконструкций	    1 425 000	    2 850 000	    4 275 000	    5 700 000	    7 125 000
Быстровозводимые производственные здания и сооружения	    1 185 000	    2 370 000  	    3 555 000   	    4 740 000   	    5 925 000
Коровники из ЛСТК металлоконструкций	    1 725 000	    3 450 000	    5 175 000	    6 900 000	    8 625 000
Бычатники из ЛСТК металлоконструкций	    1 635 000	    3 270 000	    4 905 000	    6 540 000	    8 175 000
Птичники из ЛСТК металлоконструкций	    1 575 000	    3 150 000	    4 725 000	    6 300 000	    7 875 000
Картофелехранилища из ЛСТК металлоконструкций	    1 665 000	   3 330 000  	    4 995 000	    6 660 000  	   8 325 000  
Быстровозводимые навесы	    1 365 000	    2 730 000	    4 095 000	    5 460 000	    6 825 000
Овощехранилища из ЛСТК металлоконструкций	    1 485 000	   2 970 000	    4 455 000	    5 940 000	    7 425 000
Телятники из ЛСТК металлоконструкций	    1 635 000	    3 270 000	    4 905 000	    6 540 000	    8 175 000
Комплексы и фермы для КРС из ЛСТК металлоконструкций	    1 455 000	    2 910 000	    4 365 000	    5 820 000	    7 275 000
Быстровозводимые СТО и автосервисы	    1 605 000	    3 210 000	    4 815 000	    6 420 000	    8 025 000
Быстровозводимые гаражи из ЛСТК металлоконструкций	    1 605 000	    3 210 000	    4 815 000	    6 420 000	   8 025 000
Быстровозводимые выставочные залы из ЛСТК металлоконструкций	    1 635 000	    3 270 000	    4 905 000	    6 540 000	    8 175 000
Быстровозводимые автомойки из ЛСТК металлоконструкций	1 665 000 	    3 330 000	    4 995 000	    6 660 000	    8 325 000
